A,DEG3,PPS_HH,EL	17207 	: 	: 	30190 	27345 	22062 	19449 
A,DEG3,PPS_HH,ES	: 	16953 	17382 	22467 	27788 	27886 	25071 
A,DEG3,PPS_HH,EU15	: 	: 	: 	26425 u	28328 s	: 	: 
A,DEG3,PPS_HH,EU25	: 	: 	: 	23779 e	26071 s	: 	: 
A,DEG3,PPS_HH,EU27_2007	: 	: 	: 	23467 u	25774 s	: 	: 
A,DEG3,PPS_HH,EU27_2020	: 	: 	: 	: 	: 	26384 s	26280 s
A,DEG3,PPS_HH,FI	: 	15449 	16685 	23332 	30099 	30848 	: 
A,DEG3,PPS_HH,FR	15950 	: 	23023 	28610 	29258 	30074 	29358 e
A,DEG3,PPS_HH,HR	: 	: 	: 	14849 	15706 	18121 	20056 
A,DEG3,PPS_HH,HU	: 	: 	: 	9548 	11758 	14125 	21738 
A,DEG3,PPS_HH,IE	: 	: 	: 	: 	31739 	33191 	: 
A,DEG3,PPS_HH,IT	18481 	23591 	24237 	27713 	24874 	26857 	24902 
A,DEG3,PPS_HH,LT	: 	: 	: 	7825 	12399 	13045 	14674 
A,DEG3,PPS_HH,LU	26178 	: 	45014 	51787 	39875 	51034 	59740 
A,DEG3,PPS_HH,LV	: 	: 	: 	8950 	10072 	13104 	13850 
A,DEG3,PPS_HH,MT	: 	: 	: 	28659 	: 	: 	: 
A,DEG3,PPS_HH,NL	: 	: 	: 	: 	33149 	34234 	34601 
A,DEG3,PPS_HH,NO	: 	: 	: 	26520 	31124 	34705 	: 
A,DEG3,PPS_HH,PL	: 	: 	: 	9666 	13946 	17576 	16686 
A,DEG3,PPS_HH,PT	9014 	9409 	12647 	16047 	19145 	20918 	: 
A,DEG3,PPS_HH,RO	: 	: 	: 	: 	: 	9199 	11734 
A,DEG3,PPS_HH,SE	: 	17798 	21210 	24732 	25144 	28329 	: 
A,DEG3,PPS_HH,SI	: 	: 	: 	23035 	24367 	25481 	25997 
A,DEG3,PPS_HH,SK	: 	: 	: 	11707 	14229 	18952 	15378 
A,DEG3,PPS_HH,UK	17198 	20892 	28446 	33585 	27259 	27455 	: 
A,DEG3,PPS_HH,XK	: 	: 	: 	: 	: 	6968 s	: 
A,TOTAL,PPS_AE,AT	: 	14029 	16480 	19344 	21509 	22645 	23072 
A,TOTAL,PPS_AE,BE	10466 	14049 	16753 	18831 	20139 	22578 	20128 
A,TOTAL,PPS_AE,BG	: 	: 	: 	4213 	5644 	7821 	8680 
A,TOTAL,PPS_AE,CY	: 	: 	: 	17094 	24111 	20199 	19403 e
A,TOTAL,PPS_AE,CZ	: 	: 	: 	6520 	8328 	9677 	10955 
A,TOTAL,PPS_AE,DE	10857 	13345 	15558 	18952 	19234 	20990 	22074 
A,TOTAL,PPS_AE,DK	: 	12767 	15566 	16199 	19204 	20384 	20601 
A,TOTAL,PPS_AE,EA	: 	: 	: 	17413 e	18128 s	: 	: 
